Category Title,Category URL,Subcategory Title,Subcategory URL,View More Exists,View More URL,Article Count
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Operating Modes,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30960,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Port Output Enable (POE),https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30961,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RAM,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30962,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Real Time Clock (RTC),https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30963,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30963,9
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Reset,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30964,False,,2
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Security,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/33565,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Serial Communications Interface (SCI),https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30965,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30965,28
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Serial Peripheral Interface (RSPI),https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30966,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30966,8
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,"Timer (MTU, TPU, CMT, Others)",https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30967,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30967,8
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,USB,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30968,False,,2
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Voltage Detection Circuit,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30969,False,,3
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,"Watchdog Timer (WDT, IWDT)",https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30970,False,,4
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Hardware Manual,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31716,False,,0
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Renesas Ready Partner Network,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31700,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Others,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30971,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30971,39
RISC-V,https://en-support.renesas.com/knowledgeBase/category/31663,Device,https://en-support.renesas.com/knowledgeBase/category/31663/subcategory/31664,False,,4
RISC-V,https://en-support.renesas.com/knowledgeBase/category/31663,Kit,https://en-support.renesas.com/knowledgeBase/category/31663/subcategory/31665,False,,4
RISC-V,https://en-support.renesas.com/knowledgeBase/category/31663,Solution and tools,https://en-support.renesas.com/knowledgeBase/category/31663/subcategory/31666,False,,4
